Kimlik_No,Ad,Soyad,Cinsiyet,Yaş,Email,Telefon,Şehir,İlçe,Rol_Kategorisi,Rol,Kıdem,Ünvan,Deneyim_Yıl,Eğitim_Seviyesi,Eğitim_Alanı,Mezuniyet_Yılı,Doğum_Yılı,İşe_Başlama_Tarihi,Maaş_TL,Şirket,Şirket_Büyüklüğü,Sektör,Çalışma_Şekli,Uzaktan_Çalışma_Oranı,Kullandığı_Teknolojiler,Ana_Programlama_Dili,İngilizce_Seviyesi,Diğer_Diller,Sertifikalar,LinkedIn_Profili,GitHub_Profili,Toplam_Proje_Sayısı,Teknik_Beceri_Puanı,Soft_Skill_Puanı,Yıllık_İzin_Gün,Son_Terfi_Tarihi
4821,Seha,Dumanlı,Erkek,57,sdumanli@gmail.com,05168320227,İstanbul,Ataşehir,Veri,ETL Geliştirici,Müdür,Müdür ETL Geliştirici,15.8,Yüksek Lisans,Bilgisayar Mühendisliği,1992,1968,2014-09-06,89169,Siemens Türkiye,Orta (51-200),Finans/Bankacılık,Tam Zamanlı,0,"Python, Lua, Firebase, PostgreSQL, MySQL, MariaDB, OpenAI API, PyTorch",Lua,İleri,Türkçe (Anadil),"Databricks Certified Data Engineer, Microsoft Certified: Data Engineer, SAS Certified Data Scientist, MongoDB Certified DBA",linkedin.com/in/seha-dumanli-483,github.com/seha.dumanli,30,100,82,26,2023-03-04
4822,Edaviye,Çorlu,Kadın,25,corlu.edaviye@yahoo.com,01800214980,İstanbul,Maslak,QA ve Test,Test Otomasyon Uzmanı,Jr.,Jr. Test Otomasyon Uzmanı,1.0,Lisans,Endüstri Mühendisliği,2022,2000,2024-04-12,20616,Modanisa Tech,Startup (1-10),Oyun,Freelance,100,"Scala, Rust, JUnit, TestNG, Playwright, Chef, Git",Scala,Orta,"Türkçe (Anadil), Japonca (Başlangıç)",,linkedin.com/in/edaviye-corlu-843,github.com/corlue,7,50,43,15,
4823,Akgöl,Gül,Erkek,34,akgolgul@gmail.com,+90(475)557-7343x2823,Ankara,Keçiören,Tasarım ve Kullanıcı Deneyimi,UX Tasarımcısı,Sr.,Sr. UX Tasarımcısı,5.4,Yüksek Lisans,Bilgisayar Mühendisliği,2015,1991,2025-06-17,36469,Hepsiburada Tech,Büyük (201-1000),Perakende,Tam Zamanlı,20,"Webflow, Axure RP, PWA, Less, HTML, Apollo Client",,İleri,"Türkçe (Anadil), Japonca (Başlangıç)","UX Design Institute Professional Diploma, Certified Professional in User Experience (CPUX), Certified User Experience Professional (CUXP)",linkedin.com/in/akgol-gul-155,github.com/akgol.gul,11,80,60,20,
4824,Tali,Erdoğan,Erkek,28,tali.erdogan@gmail.com,02183669498,İstanbul,Maslak,Yazılım Geliştirme,Frontend Geliştirici,Mid.,Mid. Frontend Geliştirici,4.3,Lise,Bilgisayar Programcılığı,2015,1997,2021-09-24,26755,Evidea,Startup (1-10),E-Ticaret,Freelance,80,"COBOL, VBA, JavaScript, R, Babel, Material UI, ASP.NET Core, Deno, Echo, ElasticSearch, Firebase, Supabase",COBOL,İleri,Türkçe (Anadil),,linkedin.com/in/tali-erdogan-342,,10,61,57,18,
4825,Erdursun,Ergül,Erkek,34,erdursun.ergul@gmail.com,+90(084)698-7329x7584,Samsun,Yeni Mahalle,Güvenlik,Adli Bilişim Uzmanı,Sr.,Sr. Adli Bilişim Uzmanı,5.1,Lisans,Bilgisayar Mühendisliği,2013,1991,2021-02-21,38644,TUSAŞ,Büyük (201-1000),Savunma Sanayi,Tam Zamanlı,0,"F#, Scala, Burp Suite, Aircrack-ng, Kali Linux, CrowdStrike, CircleCI, Puppet, Kubernetes",F#,İleri,"Türkçe (Anadil), Fransızca (Başlangıç)","CyberArk Certified Defender, Certified Cloud Security Professional (CCSP)",linkedin.com/in/erdursun-ergul-820,,25,74,57,20,2022-05-08
4826,Çelikkan,Şama,Erkek,30,csama@gmail.com,271 3 702,İstanbul,Maltepe,Yazılım Geliştirme,API Geliştirici,Stajyer,Stajyer API Geliştirici,0.2,Lisans,Yazılım Mühendisliği,2017,1995,2025-11-09,11907,Testinium,Büyük (201-1000),Finans/Bankacılık,Tam Zamanlı,0,"Java, Kotlin, Vue.js, Redux, GraphQL, Spring Boot, Django, MariaDB, Neo4j",Java,İleri Düzey,"Türkçe (Anadil), Almanca (Orta)",,linkedin.com/in/celikkan-sama-928,github.com/celikkansama,3,37,59,14,
4827,Erksoy,Çamurcuoğlu,Erkek,34,erksoy.camurcuoglu@gmail.com,0698-459 8909,Antalya,Lara,DevOps ve Altyapı,DevOps Mühendisi,Mid.,Mid. DevOps Mühendisi,4.6,Lise,Bilgisayar Programcılığı,2009,1991,2025-06-17,28238,Apsiyon,Küçük (11-50),E-Ticaret,Uzaktan,100,"Kotlin, Ruby, TeamCity, Chef, Docker, Vault, Firestore, DynamoDB, SQL Server, Supabase, Oracle Cloud, IBM Cloud, Netlify",Kotlin,İleri Düzey,Türkçe (Anadil),,linkedin.com/in/erksoy-camurcuoglu-887,,11,63,60,18,
4828,Altınkaya,Kısakürek,Erkek,32,altinkayakisakurek@gmail.com,094 7 830,İstanbul,Üsküdar,Destek ve Operasyon,Ağ Operatörleri,Lead,Lead Ağ Operatörleri,9.7,Lisans,Bilgisayar Mühendisliği,2015,1993,2021-08-09,50167,METEKSAN Savunma,Orta (51-200),Savunma Sanayi,Sözleşmeli,0,"Swift, Scala, SQL Server, FaunaDB, Neo4j, Helm, ELK Stack, CircleCI, Jenkins",Swift,İleri,"Türkçe (Anadil), İspanyolca (Başlangıç), Korece (İleri)",Cisco Certified Network Professional (CCNP),linkedin.com/in/altinkaya-kisakurek-211,,23,92,69,22,
4829,İbrahim,Seven,Erkek,54,seven.i̇brahim@yahoo.com,0646 588 99 87,Ankara,Gölbaşı,İş ve Analiz,ERP Uzmanı,Jr.,Jr. ERP Uzmanı,1.9,Önlisans,Bilgisayar Mühendisliği,1991,1971,2025-02-27,18520,Enpara Teknoloji,Küçük (11-50),Yazılım,Yarı Zamanlı,0,"Haskell, Swift, MySQL, MongoDB, PostgreSQL, Docker, CircleCI",Swift,Orta,Türkçe (Anadil),,linkedin.com/in/i̇brahim-seven-309,github.com/iseven,5,51,59,15,
4830,Cantez,Aslan,Erkek,23,cantezaslan@gmail.com,0463-128 4209,Bursa,Mudanya,Yazılım Geliştirme,API Geliştirici,Jr.,Jr. API Geliştirici,1.1,Lisans,Bilgisayar Mühendisliği,2024,2002,2025-10-08,19397,Iyzico,Startup (1-10),E-Ticaret,Tam Zamanlı,0,"Swift, Kotlin, Apollo Client, Svelte, Express.js, Play Framework, Spring Boot, Symfony, PostgreSQL, DynamoDB, MariaDB, MySQL",Swift,Orta,Türkçe (Anadil),,linkedin.com/in/cantez-aslan-681,github.com/aslanc,3,47,48,15,
4831,Canberk,Ertaş,Erkek,34,canberk.ertas@outlook.com,0939-098 1122,Ankara,Mamak,Yönetim ve Liderlik,Proje Yöneticisi,Lead,Lead Proje Yöneticisi,11.3,Lisans,Diğer,2013,1991,2024-03-19,66258,Bizim Yazılım,Orta (51-200),Finans/Bankacılık,Tam Zamanlı,20,"Lua, TypeScript, Java, CockroachDB, InfluxDB, SQLite, Neo4j, Terraform, Prometheus, Git",Lua,İleri,Türkçe (Anadil),"SAFe Agilist, Disciplined Agile Senior Scrum Master (DASSM)",linkedin.com/in/canberk-ertas-281,,23,96,83,23,2024-10-24
4832,Aydar,Akçay,Kadın,54,aydar.akcay@gmail.com,+90 (512) 8513684,İstanbul,Kadıköy,Destek ve Operasyon,Teknik Destek Mühendisi,Lead,Lead Teknik Destek Mühendisi,8.1,Önlisans,Bilişim Sistemleri,1991,1971,2017-07-23,46337,Etiya,Büyük (201-1000),Finans/Bankacılık,Tam Zamanlı,0,"VBA, Scala, Ruby, Perl, ElasticSearch, CockroachDB, MariaDB, GitHub Actions, Prometheus, Sentry",Perl,Orta,Türkçe (Anadil),,linkedin.com/in/aydar-akcay-757,,16,77,59,21,2022-12-04
4833,Atanur,Hayrioğlu,Kadın,22,ahayrioglu@gmail.com,0165-237 0087,İstanbul,Levent,DevOps ve Altyapı,Ağ Mühendisi,Jr.,Jr. Ağ Mühendisi,1.4,Önlisans,Yönetim Bilişim Sistemleri,2023,2003,2025-11-21,23155,Hitachi Türkiye,Büyük (201-1000),Danışmanlık,Yarı Zamanlı,0,"Clojure, Rust, COBOL, Helm, Terraform, Kubernetes, GitLab CI/CD, Oracle, DynamoDB, Netlify, AWS",Clojure,Orta,Türkçe (Anadil),,linkedin.com/in/atanur-hayrioglu-520,github.com/atanur_hayrioglu,6,46,54,15,
4834,Teybet,Güçlü,Kadın,47,teybet.guclu@outlook.com,(190)032 2607,Ankara,Altındağ,Güvenlik,Ağ Güvenliği Uzmanı,Mid.,Mid. Ağ Güvenliği Uzmanı,4.3,Önlisans,Endüstri Mühendisliği,1998,1978,2022-08-02,25948,Bilge Adam Teknoloji,Büyük (201-1000),Danışmanlık,Tam Zamanlı,0,"TypeScript, Objective-C, MATLAB, Python, HashiCorp Vault, Kali Linux, Prometheus, CircleCI, Grafana, Kubernetes",Objective-C,Orta,"Türkçe (Anadil), Arapça (Orta)",,linkedin.com/in/teybet-guclu-541,,8,57,48,18,2022-07-07
4835,Eral,Arslan,Erkek,50,eral.arslan@gmail.com,+90(843)267-4846x431,İstanbul,Levent,DevOps ve Altyapı,Ağ Mühendisi,Stajyer,Stajyer Ağ Mühendisi,0.1,Yüksek Lisans,İstatistik,1999,1975,2025-05-07,11256,BİTES,Orta (51-200),Kamu,Tam Zamanlı,20,"Groovy, VBA, Go, C++, ArgoCD, ELK Stack, Firestore, InfluxDB, Supabase, Neo4j, AWS, Oracle Cloud, Netlify",VBA,İleri Düzey,"Türkçe (Anadil), Almanca (Başlangıç)",,linkedin.com/in/eral-arslan-194,github.com/eralarslan1,1,36,58,14,
4836,Öryürek,Yorulmaz,Erkek,25,oryurek_yorulmaz@hotmail.com,02338543767,İstanbul,Bakırköy,DevOps ve Altyapı,Ağ Mühendisi,Stajyer,Stajyer Ağ Mühendisi,0.1,Lisans,Endüstri Mühendisliği,2022,2000,2025-05-21,11766,Netaş,Orta (51-200),Danışmanlık,Tam Zamanlı,0,"Assembly, Lua, Puppet, ELK Stack, PostgreSQL, Couchbase, Supabase, AWS, Oracle Cloud, Scaleway",Assembly,İleri,Türkçe (Anadil),,linkedin.com/in/oryurek-yorulmaz-612,,2,43,52,14,
4837,Hatin,Yorulmaz,Kadın,44,yorulmaz.hatin@yahoo.com,(858)219 6459,İstanbul,Maltepe,Yapay Zeka ve Makine Öğrenmesi,Makine Öğrenmesi Mühendisi,Mid.,Mid. Makine Öğrenmesi Mühendisi,3.2,Lisans,Bilgisayar Mühendisliği,2003,1981,2024-06-06,36181,Bilge Adam Teknoloji,Büyük (201-1000),Danışmanlık,Tam Zamanlı,0,"PHP, Rust, MATLAB, R, MLflow, TensorFlow, Supabase, MySQL, MongoDB, SQLite",Rust,İleri,Türkçe (Anadil),Databricks Certified Data Engineer,linkedin.com/in/hatin-yorulmaz-311,,12,63,47,17,2024-11-23
4838,Şeyda,Seven,Kadın,52,seyda.seven@outlook.com,+90(224)312-1255x8898,Ankara,Altındağ,Güvenlik,Güvenlik Mühendisi,Lead,Lead Güvenlik Mühendisi,9.6,Sertifika Programı,Bilişim Sistemleri,1997,1973,2020-11-01,51104,Sipay,Küçük (11-50),Finans/Bankacılık,Tam Zamanlı,0,"C#, C++, Go, Kotlin, CrowdStrike, Symantec, ArgoCD, Jenkins, Grafana, ELK Stack",Go,İleri,Türkçe (Anadil),CyberArk Certified Defender,linkedin.com/in/seyda-seven-313,,15,83,57,22,2024-09-24
4839,Delil,Korutürk,Erkek,50,delilkoruturk@gmail.com,0307 814 12 57,Ankara,Altındağ,Güvenlik,Güvenlik Mimarı,Müdür,Müdür Güvenlik Mimarı,19.6,Yüksek Lisans,Elektrik-Elektronik Mühendisliği,1999,1975,2019-11-08,76489,Bizim Yazılım,Orta (51-200),Finans/Bankacılık,Tam Zamanlı,0,"MATLAB, JavaScript, CrowdStrike, Wireshark, GitHub Actions, Sentry, Chef",MATLAB,İleri,"Türkçe (Anadil), Fransızca (Başlangıç)","Palo Alto Networks Certified Cybersecurity Associate (PCCSA), Certified Information Systems Auditor (CISA)",linkedin.com/in/delil-koruturk-594,github.com/dkoruturk,49,91,100,26,2022-07-07
4840,Afer,Ülker,Erkek,50,afer_ulker@hotmail.com,707 7 924,İstanbul,Kadıköy,Yapay Zeka ve Makine Öğrenmesi,Derin Öğrenme Mühendisi,Mid.,Mid. Derin Öğrenme Mühendisi,2.9,Lisans,Bilgisayar Mühendisliği,1997,1975,2023-04-03,35138,Testinium,Büyük (201-1000),Danışmanlık,Tam Zamanlı,0,"Perl, C++, Elixir, C#, NumPy, Pandas, MariaDB, InfluxDB",C#,İleri,Türkçe (Anadil),MongoDB Certified DBA,linkedin.com/in/afer-ulker-544,github.com/afer.ulker,15,59,44,16,2024-05-27
4841,Ergönül,Akçay,Erkek,53,akcay.ergonul@yahoo.com,(475)971 1315,İstanbul,Maslak,İş ve Analiz,İş Analisti,Sr.,Sr. İş Analisti,5.7,Doktora,İstatistik,2000,1972,2024-06-05,40052,Armut.com,Küçük (11-50),E-Ticaret,Tam Zamanlı,0,"MATLAB, Lua, Clojure, Cassandra, MongoDB, Docker, SonarQube, Vault",Lua,İleri,Türkçe (Anadil),"Docker Certified Associate, AWS Certified DevOps Engineer",linkedin.com/in/ergonul-akcay-170,,21,82,61,20,2022-05-08
4842,Ruhugül,Sezgin,Kadın,44,ruhugul.sezgin@outlook.com,+90(731)024-2645x9639,İstanbul,Maslak,İş ve Analiz,CRM Uzmanı,Lead,Lead CRM Uzmanı,9.0,Önlisans,Bilgisayar Programcılığı,2001,1981,2024-05-15,47806,Accenture Türkiye,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"Perl, R, TypeScript, Swift, Firestore, InfluxDB, Supabase, DynamoDB, Prometheus, Terraform",Swift,İleri,Türkçe (Anadil),"Aruba Certified Switching Associate, Certified Network Professional",linkedin.com/in/ruhugul-sezgin-703,github.com/ruhugulsezgin63,31,89,73,22,2023-04-03
4843,Fahrullah,Şafak,Erkek,60,fahrullah.safak@gmail.com,+90(458)310-9035x8587,Ankara,Mamak,Güvenlik,Güvenlik Analisti,Stajyer,Stajyer Güvenlik Analisti,0.4,Lisans,Bilgisayar Mühendisliği,1987,1965,2025-06-01,9847,TRtest,Orta (51-200),Kamu,Tam Zamanlı,0,"Kotlin, PHP, Symantec, Kali Linux, Vault, GitHub Actions",PHP,Orta,Türkçe (Anadil),Offensive Security Certified Professional (OSCP),linkedin.com/in/fahrullah-safak-464,,2,50,48,14,
4844,Bengibay,Kısakürek,Erkek,35,bengibay.kisakurek@gmail.com,02750271926,İstanbul,Kadıköy,Tasarım ve Kullanıcı Deneyimi,Ürün Tasarımcısı,Lead,Lead Ürün Tasarımcısı,9.1,Yüksek Lisans,Yazılım Mühendisliği,2014,1990,2017-06-07,48538,C2TECH,Orta (51-200),Kamu,Tam Zamanlı,20,"ProtoPie, Figma, Webflow, Zeplin, Bootstrap, WebAssembly, React, Next.js",,Orta,Türkçe (Anadil),"UX Design Institute Professional Diploma, Sketch Certified",linkedin.com/in/bengibay-kisakurek-767,,27,90,55,22,
4845,Meryeme,Akçay,Kadın,38,meryemeakcay@gmail.com,+90 (023) 8728807,Ankara,Keçiören,Destek ve Operasyon,Teknik Destek Mühendisi,Jr.,Jr. Teknik Destek Mühendisi,1.9,Lise,Bilişim Sistemleri,2005,1987,2025-02-21,18547,Havelsan,Büyük (201-1000),Perakende,Tam Zamanlı,20,"Objective-C, Rust, SQLite, MongoDB, Kubernetes, Puppet, Prometheus",Rust,Orta,Türkçe (Anadil),,linkedin.com/in/meryeme-akcay-100,github.com/akcaym,2,47,43,15,
4846,Hurican,Şafak,Kadın,26,safak.hurican@yahoo.com,497 0 695,İstanbul,Beyoğlu,QA ve Test,Test Otomasyon Uzmanı,Jr.,Jr. Test Otomasyon Uzmanı,1.4,Önlisans,Bilgisayar Mühendisliği,2019,1999,2024-01-23,20353,Akbank Teknoloji,Kurumsal (1000+),E-Ticaret,Tam Zamanlı,0,"MATLAB, TypeScript, JUnit, Chai, WireMock, Jest, SonarQube, Ansible",MATLAB,İleri Düzey,Türkçe (Anadil),,linkedin.com/in/hurican-safak-375,,7,44,47,15,
4847,Seyithan,Demirel,Erkek,55,seyithan.demirel@outlook.com,+90(196)4335623,İstanbul,Ataşehir,Güvenlik,SOC Analisti,Lead,Lead SOC Analisti,8.1,Lisans,Elektrik-Elektronik Mühendisliği,1992,1970,2020-10-22,62777,Sipay,Startup (1-10),Yazılım,Tam Zamanlı,20,"Perl, F#, Trend Micro, Kali Linux, Checkmarx, Grafana, Puppet, Ansible",Perl,İleri,"Türkçe (Anadil), Arapça (Başlangıç)","Certified Information Systems Security Professional (CISSP), Certified Information Systems Security Professional (CISSP)",,,22,86,68,21,2021-10-10
4848,Seçme,Şama,Erkek,36,secme.sama@outlook.com,+90(211)1870000,İstanbul,Beyoğlu,Yönetim ve Liderlik,Yazılım Geliştirme Müdürü,Jr.,Jr. Yazılım Geliştirme Müdürü,1.6,Lisans,Endüstri Mühendisliği,2011,1989,2024-07-19,30570,ALTINAY Robot,Kurumsal (1000+),Kamu,Tam Zamanlı,0,"MATLAB, Lua, FaunaDB, Oracle, Firebase, SQL Server, SonarQube, Git, ArgoCD",MATLAB,Orta,"Türkçe (Anadil), Fransızca (Başlangıç)",,linkedin.com/in/secme-sama-186,github.com/samas,2,49,72,15,
4849,Safet,Bilge,Erkek,51,bilge.safet@yahoo.com,0220 532 20 89,Antalya,Lara,QA ve Test,QA Mühendisi,Müdür Yardımcısı,Müdür Yardımcısı QA Mühendisi,11.5,Sertifika Programı,Bilgisayar Teknolojileri,1998,1974,2014-07-24,43595,TRtest,Orta (51-200),Kamu,Freelance,80,"VBA, TypeScript, PHP, Robot Framework, TestNG, CircleCI, Git, Jenkins",VBA,İleri,Türkçe (Anadil),"CompTIA Server+, HPE ASE - Server Solutions Architect, Linux Professional Institute Certification (LPIC)",linkedin.com/in/safet-bilge-246,github.com/safetbilge,25,100,91,23,
4850,Elöve,Durdu,Erkek,25,durdu.elove@yahoo.com,(608)980 4661,Ankara,Etimesgut,Veri,Büyük Veri Uzmanı,Mid.,Mid. Büyük Veri Uzmanı,3.1,Lisans,Bilgisayar Teknolojileri,2022,2000,2025-03-06,28057,Ericsson Türkiye,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"Elixir, Go, Java, COBOL, Firebase, Firestore, CockroachDB, FaunaDB, PyTorch, CUDA, Luigi, SageMaker",Elixir,İleri,"Türkçe (Anadil), Almanca (Başlangıç)","Snowflake SnowPro Core Certification, Tableau Desktop Certified Professional",linkedin.com/in/elove-durdu-570,github.com/elove.durdu,10,62,59,17,
4851,Şendoğan,Dumanlı,Erkek,58,dumanli.sendogan@yahoo.com,+90 (014) 7824759,İzmir,Karabağlar,Tasarım ve Kullanıcı Deneyimi,Web Tasarımcısı,Direktör,Direktör Web Tasarımcısı,24.9,Lisans,Yönetim Bilişim Sistemleri,1989,1967,2022-02-19,86130,FNSS,Büyük (201-1000),Savunma Sanayi,Tam Zamanlı,0,"UXPin, Axure RP, Adobe XD, Principle, Angular, TypeScript, jQuery",TypeScript,İleri,Türkçe (Anadil),"Interaction Design Foundation UX Certificate, Interaction Design Foundation UX Certificate, Interaction Design Foundation UX Certificate",,,38,99,85,26,
4852,Şilan,Gül,Kadın,41,silan.gul@gmail.com,+90 (173) 9066506,İzmir,Gaziemir,QA ve Test,QA Mühendisi,Stajyer,Stajyer QA Mühendisi,0.4,Doktora,Bilgisayar Mühendisliği,2012,1984,2025-04-23,8480,Innova,Orta (51-200),Yazılım,Tam Zamanlı,0,"Dart, Python, MATLAB, Lua, PyTest, JMeter, SonarQube, GitHub Actions, Puppet, Grafana",Dart,İleri Düzey,Türkçe (Anadil),,linkedin.com/in/silan-gul-572,,1,44,60,14,
4853,Varlık,Fırat,Kadın,41,varlik.firat@gmail.com,+90(576)027-3160x3502,İstanbul,Bakırköy,Veri,ETL Geliştirici,Müdür Yardımcısı,Müdür Yardımcısı ETL Geliştirici,13.3,Lisans,Bilgisayar Mühendisliği,2006,1984,2019-09-21,72627,Testinium,Orta (51-200),Yazılım,Tam Zamanlı,0,"Scala, C#, SQLite, ElasticSearch, Apache Kafka, PyTorch, Apache Beam, MLflow",C#,İleri Düzey,Türkçe (Anadil),"Snowflake SnowPro Core Certification, MongoDB Certified DBA",linkedin.com/in/varlik-firat-541,github.com/varlik_firat,43,93,76,24,2024-01-28
4854,Merva,Akçay,Kadın,34,mervaakcay@gmail.com,(063)270 5241,İstanbul,Kadıköy,Yönetim ve Liderlik,Scrum Master,Lead,Lead Scrum Master,11.9,Önlisans,Diğer,2011,1991,2025-10-10,68619,Hitachi Türkiye,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"C++, Scala, R, VBA, MongoDB, SQL Server, Couchbase, Oracle, TeamCity, Vault, Jenkins",Scala,İleri Düzey,Türkçe (Anadil),SAFe Agilist,linkedin.com/in/merva-akcay-769,github.com/mervaakcay,21,94,87,23,2023-11-29
4855,Salimet,Tevetoğlu,Kadın,52,salimet_tevetoglu@hotmail.com,0564-686 6764,Ankara,Etimesgut,QA ve Test,Performans Test Uzmanı,Direktör,Direktör Performans Test Uzmanı,23.0,Önlisans,Bilgisayar Mühendisliği,1993,1973,2025-04-04,86771,METEKSAN Savunma,Büyük (201-1000),Kamu,Uzaktan,100,"R, JavaScript, Java, PHP, Mocha, Gatling, Puppet, GitLab CI/CD, Terraform",JavaScript,İleri,Türkçe (Anadil),"Cloudera Certified Associate Data Analyst, MongoDB Certified DBA, Snowflake SnowPro Core Certification",linkedin.com/in/salimet-tevetoglu-449,,43,100,100,26,
4856,Kınel,Mansız,Erkek,28,kinel_mansiz@hotmail.com,+90 (428) 4000013,Antalya,Muratpaşa,Güvenlik,Güvenlik Mimarı,Mid.,Mid. Güvenlik Mimarı,4.4,Lisans,Elektrik-Elektronik Mühendisliği,2019,1997,2024-07-07,26436,Deloitte Digital,Büyük (201-1000),Yazılım,Sözleşmeli,20,"Dart, Scala, TypeScript, Python, OpenVAS, CrowdStrike, OWASP ZAP, Trend Micro, Docker, Sentry, Vault",Dart,İleri Düzey,Türkçe (Anadil),Certified Cloud Security Professional (CCSP),linkedin.com/in/kinel-mansiz-521,github.com/mansizk,10,65,47,18,2024-06-26
4857,Çetinsu,Akça,Erkek,32,cetinsuakca@gmail.com,+90(437)847-1073x823,İstanbul,Maltepe,İş ve Analiz,ERP Uzmanı,Mid.,Mid. ERP Uzmanı,3.8,Lisans,Endüstri Mühendisliği,2015,1993,2024-12-26,28523,Deloitte Digital,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"Elixir, Assembly, Kotlin, R, Supabase, SQLite, MongoDB, ElasticSearch, SonarQube, Istio, GitHub Actions",Elixir,İleri Düzey,Türkçe (Anadil),"Alcatel-Lucent Network Routing Specialist, Certified Network Professional",linkedin.com/in/cetinsu-akca-335,github.com/akcac,8,69,53,17,2024-09-24
4858,Celilay,Manço,Erkek,32,celilaymanco@gmail.com,(833)762 2334,İstanbul,Levent,DevOps ve Altyapı,Cloud Mühendisi,Mid.,Mid. Cloud Mühendisi,3.4,Lisans,Elektrik-Elektronik Mühendisliği,2015,1993,2022-11-19,31327,BİTES,Orta (51-200),Kamu,Tam Zamanlı,0,"Java, COBOL, TypeScript, Kotlin, Vault, Puppet, DynamoDB, Redis, InfluxDB, Firebase, AWS, Vultr, Scaleway, Netlify",COBOL,İleri,"Türkçe (Anadil), Arapça (Başlangıç)",Google Cloud Professional Cloud Developer,linkedin.com/in/celilay-manco-242,,10,58,59,17,
4859,Gürelcem,Türk,Erkek,46,gurelcem_turk@hotmail.com,+90 (541) 7765786,İstanbul,Şişli,Güvenlik,Penetrasyon Test Uzmanı,Jr.,Jr. Penetrasyon Test Uzmanı,2.0,Önlisans,Bilgisayar Bilimleri,1999,1979,2024-06-19,22589,TRtest,Kurumsal (1000+),Savunma Sanayi,Tam Zamanlı,0,"Elixir, Lua, COBOL, Ruby, Checkmarx, Trend Micro, Vault, Puppet, Helm",Elixir,Orta,"Türkçe (Anadil), Almanca (Orta)",,linkedin.com/in/gurelcem-turk-488,github.com/turkg,4,48,62,16,
4860,Sedife,Çorlu,Kadın,58,sedife.corlu@gmail.com,+90(000)5911862,İstanbul,Maslak,Destek ve Operasyon,Yardım Masası Uzmanı,Jr.,Jr. Yardım Masası Uzmanı,1.1,Önlisans,Endüstri Mühendisliği,1987,1967,2025-03-18,18537,Yemeksepeti Tech,Büyük (201-1000),E-Ticaret,Tam Zamanlı,0,"TypeScript, F#, Cassandra, Oracle, Firebase, CircleCI, ELK Stack, GitHub Actions, Vault",F#,Orta,Türkçe (Anadil),,linkedin.com/in/sedife-corlu-840,,5,45,48,15,
4861,Toköz,Gül,Erkek,33,gul.tokoz@yahoo.com,0793-933 4891,Diyarbakır,Fatih,Yönetim ve Liderlik,Yazılım Mimarı,Sr.,Sr. Yazılım Mimarı,7.5,Önlisans,Yazılım Mühendisliği,2012,1992,2022-07-28,41589,Logo Yazılım,Büyük (201-1000),Danışmanlık,Tam Zamanlı,0,"Scala, Groovy, C++, Lua, FaunaDB, MariaDB, DynamoDB, Chef, Helm",Scala,İleri,Türkçe (Anadil),"Disciplined Agile Senior Scrum Master (DASSM), SAFe Agilist",linkedin.com/in/tokoz-gul-751,,10,84,71,21,2021-03-14
4862,Ferat,Yorulmaz,Erkek,25,yorulmaz.ferat@yahoo.com,0696 315 55 80,İstanbul,Kadıköy,DevOps ve Altyapı,Sistem Yöneticisi,Stajyer,Stajyer Sistem Yöneticisi,0.5,Sertifika Programı,Yönetim Bilişim Sistemleri,2025,2000,2025-05-18,10966,Oracle Türkiye,Büyük (201-1000),Danışmanlık,Tam Zamanlı,0,"Groovy, Lua, F#, Sentry, TeamCity, Redis, PostgreSQL, Neo4j, Oracle Cloud, Linode, Vercel, OVH",Groovy,Orta,Türkçe (Anadil),,linkedin.com/in/ferat-yorulmaz-753,,1,46,57,14,
4863,Toy,Yıldırım,Erkek,34,tyildirim@gmail.com,+90(757)575-1318x3823,İstanbul,Şişli,İş ve Analiz,Gereksinim Analisti,Jr.,Jr. Gereksinim Analisti,1.6,Lisans,Bilgisayar Bilimleri,2013,1991,2025-07-01,19721,Deloitte Digital,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"Clojure, Groovy, MATLAB, MariaDB, Couchbase, Cassandra, ArgoCD, Sentry, GitHub Actions, Istio",Clojure,İleri,"Türkçe (Anadil), Rusça (Orta)",Project Management Professional (PMP),linkedin.com/in/toy-yildirim-368,github.com/toyyildirim,6,49,47,15,
4864,Okanay,Yorulmaz,Erkek,22,yorulmaz.okanay@yahoo.com,+90(444)685-0138x1385,İstanbul,Maltepe,DevOps ve Altyapı,Linux Yöneticisi,Stajyer,Stajyer Linux Yöneticisi,0.0,Lisans,Bilgisayar Mühendisliği,2025,2003,2025-09-15,12520,Tapu.com,Startup (1-10),Yazılım,Hibrit,40,"Perl, Ruby, Terraform, TeamCity, Supabase, Redis, Oracle, Azure, Linode, Cloudflare",Perl,İleri Düzey,Türkçe (Anadil),,linkedin.com/in/okanay-yorulmaz-117,,1,36,59,14,
